Month,Num Looks,Num Approved,Num Funded Loans,Num Fpd,Total Cost,Approval Rate %,Fund Rate %,Fpd Rate %,Cpf,Client,Fpd % Change,Cpf % Change
2021-01,55574.0,656.0,182.0,43.0,83699.98,8471.646341463415,27.743902439024392,23.626373626373624,127.59143292682926,All US,,
2021-02,70436.0,1294.0,282.0,70.0,77678.4,5443.276661514683,21.792890262751158,24.822695035460992,60.02967542503863,All US,5.063499917532588,-52.95164099343233
2021-03,30892.0,1687.0,294.0,74.0,56582.149999999994,1831.1796087729697,17.42738589211618,25.170068027210885,33.54010077059869,All US,1.3994169096209985,-44.12746606887538
2021-04,27968.0,1778.0,380.0,122.0,52838.25,1573.0033745781777,21.372328458942633,32.10526315789474,29.717800899887514,All US,27.553342816500724,-11.396208666319252
2021-05,95007.0,2904.0,506.0,172.0,99961.37999999998,3271.5909090909095,17.424242424242426,33.99209486166008,34.421962809917346,All US,5.8770167822199015,15.829441505032893
2021-06,146318.0,3774.0,558.0,174.0,111220.8299999999,3877.0005299417066,14.785373608903022,31.182795698924732,29.47027821939584,All US,-8.26456614153538,-14.385247633510524
2021-07,167284.0,4701.0,655.0,233.0,126913.71999999479,3558.476919804297,13.9332057009147,35.57251908396947,26.997175069133117,All US,14.077388786522782,-8.391855454676545
2021-08,148110.0,5151.0,899.0,312.0,137851.5099999944,2875.3640069889343,17.45292176276451,34.705228031145715,26.762086973402134,All US,-2.438092873817843,-0.8707877588265411
2021-09,128985.0,3694.0,680.0,186.0,104106.2500000012,3491.743367623172,18.408229561451,27.35294117647059,28.182525717379857,All US,-21.18495475113121,5.30765311909136
2021-10,70165.0,3967.0,649.0,215.0,104917.71,1768.7169145449961,16.359969750441138,33.12788906009245,26.4476203680363,All US,21.112712692811098,-6.155961203554083
2021-11,94507.0,5728.0,1045.0,357.0,128096.19,1649.9127094972068,18.243715083798882,34.162679425837325,22.363161662011173,All US,3.123623011015919,-15.443577339613757
2021-12,104745.0,8340.0,1704.0,694.0,156036.84999999998,1255.9352517985612,20.431654676258994,40.72769953051643,18.709454436450837,All US,19.216935600531283,-16.338062036044633
2022-01,70200.0,6929.0,1516.0,553.0,114167.36999999998,1013.1332082551594,21.87905902727666,36.477572559366756,16.476745562130176,All US,-10.435470257693158,-11.933586208536195
2022-02,71401.0,7167.0,1517.0,421.0,115499.55,996.2466862006419,21.166457374075627,27.752142386288725,16.115466722478025,All US,-23.91998579093363,-2.192658970728456
2022-03,91752.0,7323.0,1298.0,160.0,98832.2,1252.9291274068005,17.724976102690153,12.326656394453005,13.49613546360781,All US,-55.58304572355057,-16.253524046044188
2022-04,8656.0,934.0,143.0,0.0,11047.75,926.7665952890793,15.310492505353318,0.0,11.828426124197001,All US,-100.0,-12.356939835909097
2021-01,55574.0,656.0,182.0,43.0,83699.98,8471.646341463415,27.743902439024392,23.626373626373624,127.59143292682926,LCO,,
2021-02,70436.0,1294.0,282.0,70.0,77678.4,5443.276661514683,21.792890262751158,24.822695035460992,60.02967542503863,LCO,5.063499917532588,-52.95164099343233
2021-03,30892.0,1687.0,294.0,74.0,56582.149999999994,1831.1796087729697,17.42738589211618,25.170068027210885,33.54010077059869,LCO,1.3994169096209985,-44.12746606887538
2021-04,24812.0,1728.0,380.0,122.0,50971.65,1435.8796296296296,21.99074074074074,32.10526315789474,29.49748263888889,LCO,27.553342816500724,-12.053088806619117
2021-05,36568.0,1611.0,284.0,89.0,41705.759999999995,2269.8944754810677,17.628801986343888,31.338028169014088,25.888119180633144,LCO,-2.389748326021701,-12.236174532050526
2021-06,71947.0,1680.0,228.0,71.0,48419.560000000005,4282.559523809524,13.571428571428571,31.140350877192986,28.82116666666667,LCO,-0.6307904592942948,11.329704817751818
2021-07,78329.0,1790.0,310.0,102.0,54701.68999999999,4375.921787709497,17.318435754189945,32.903225806451616,30.5596033519553,LCO,5.661063153112211,6.031805392872003
2021-08,47788.0,2462.0,554.0,185.0,73290.78,1941.0235580828594,22.50203086921202,33.39350180505416,29.76879772542648,LCO,1.4900545055567482,-2.5877483337106932
2021-09,31342.0,1903.0,426.0,143.0,41931.56,1646.9784550709405,22.385706778770363,33.568075117370896,22.034450867052023,LCO,0.5227762974241879,-25.981388061797016
2021-10,37825.0,3171.0,608.0,205.0,65149.880000000005,1192.8413749605802,19.173762220119837,33.71710526315789,20.545531378114163,LCO,0.4439639308060128,-6.757234377754484
2021-11,50467.0,5030.0,999.0,344.0,89622.26000000001,1003.3200795228629,19.860834990059644,34.434434434434436,17.81754671968191,LCO,2.1274933470055712,-13.277751780799395
2021-12,72000.0,7926.0,1676.0,683.0,131500.08,908.4027252081758,21.145596770123642,40.75178997613365,16.5909765329296,LCO,18.34604123882999,-6.884057643005348
2022-01,70200.0,6929.0,1516.0,553.0,114167.36999999998,1013.1332082551594,21.87905902727666,36.477572559366756,16.476745562130176,LCO,-10.488416384335753,-0.688512641632022
2022-02,69359.0,7118.0,1517.0,421.0,115499.55,974.4169710592864,21.31216633885923,27.752142386288725,16.226404889013768,LCO,-23.91998579093363,-1.519357522226883
2022-03,69065.0,5910.0,1298.0,160.0,98832.2,1168.6125211505923,21.962774957698816,12.326656394453005,16.722876480541455,LCO,-55.58304572355057,3.0596524302424433
2022-04,6203.0,680.0,143.0,0.0,11047.75,912.2058823529411,21.029411764705884,0.0,16.246691176470588,LCO,-100.0,-2.847508349565042
2021-05,1459.0,128.0,4.0,2.0,1802.91999999999,8.7731322823852,3.125,50.0,450.729999999997,Oxford,,
2021-06,35817.0,1332.0,193.0,53.0,23628.5199999999,3.7189044308568597,14.489489489489499,27.461139896373098,122.427564766839,Oxford,-45.077720207253805,-72.83793739781248
2021-07,70948.0,2105.0,202.0,84.0,37893.0999999948,2.96696171844168,9.59619952494062,41.5841584158416,187.58960396037,Oxford,51.42910517466823,53.22497373661796
2021-08,82525.0,2058.0,234.0,86.0,36737.0199999944,2.4937897606785797,11.3702623906706,36.7521367521368,156.995811965788,Oxford,-11.619861619861538,-16.30889524189476
2021-09,75744.0,980.0,151.0,14.0,26116.2000000012,1.29383185466836,15.408163265306099,25.925925925925903,172.954966887425,Oxford,-29.457364341085423,10.165337993292955
2021-04,3156.0,50.0,0.0,0.0,1866.6,6312.0,0.0,,37.332,IM,,
2021-05,56980.0,1165.0,218.0,81.0,56452.7,4890.987124463519,18.71244635193133,37.15596330275229,48.45725321888412,IM,,29.80084972378687
2021-06,38554.0,762.0,137.0,50.0,39172.75,5059.580052493438,17.979002624671917,36.496350364963504,51.40780839895013,IM,-1.7752545733080938,6.088985619424592
2021-07,18007.0,806.0,143.0,47.0,34318.93,2234.1191066997517,17.741935483870968,32.86713286713287,42.579317617866,IM,-9.944055944055952,-17.17344321035951
2021-08,17797.0,631.0,111.0,41.0,27823.71,2820.4437400950874,17.591125198098258,36.93693693693694,44.094627575277336,IM,12.38259536131876,3.558793428797258
2021-09,21899.0,811.0,103.0,29.0,36058.49,2700.246609124538,12.700369913686806,28.155339805825243,44.46176325524044,IM,-23.774567842765805,0.8326086422576928
2021-10,32340.0,796.0,41.0,10.0,39767.83,4062.814070351759,5.150753768844221,24.390243902439025,49.95958542713568,IM,-13.372582001682087,12.365281467435363
2021-11,44040.0,698.0,46.0,13.0,38473.93,6309.45558739255,6.59025787965616,28.26086956521739,55.1202435530086,IM,15.86956521739129,10.32966563223301
